,Age,Parch,Pclass,SibSp,familyNum,TickCot,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty
0,22.0,0,3,1,2,1,0,0,1,0,0,0
1,38.0,0,1,1,2,2,0,0,0,1,0,0
2,26.0,0,3,0,1,1,0,1,0,0,0,0
3,35.0,0,1,1,2,2,0,0,0,1,0,0
4,35.0,0,3,0,1,1,0,0,1,0,0,0
5,,0,3,0,1,1,0,0,1,0,0,0
6,54.0,0,1,0,1,2,0,0,1,0,0,0
7,2.0,1,3,3,5,5,1,0,0,0,0,0
8,27.0,2,3,0,3,3,0,0,0,1,0,0
9,14.0,0,2,1,2,2,0,0,0,1,0,0
10,4.0,1,3,1,3,3,0,1,0,0,0,0
11,58.0,0,1,0,1,1,0,1,0,0,0,0
12,20.0,0,3,0,1,1,0,0,1,0,0,0
13,39.0,5,3,1,7,7,0,0,1,0,0,0
14,14.0,0,3,0,1,1,0,1,0,0,0,0
15,55.0,0,2,0,1,1,0,0,0,1,0,0
16,2.0,1,3,4,6,6,1,0,0,0,0,0
17,,0,2,0,1,1,0,0,1,0,0,0
18,31.0,0,3,1,2,2,0,0,0,1,0,0
19,,0,3,0,1,1,0,0,0,1,0,0
20,35.0,0,2,0,1,2,0,0,1,0,0,0
21,34.0,0,2,0,1,1,0,0,1,0,0,0
22,15.0,0,3,0,1,1,0,1,0,0,0,0
23,28.0,0,1,0,1,1,0,0,1,0,0,0
24,8.0,1,3,3,5,5,0,1,0,0,0,0
25,38.0,5,3,1,7,7,0,0,0,1,0,0
26,,0,3,0,1,1,0,0,1,0,0,0
27,19.0,2,1,3,6,6,0,0,1,0,0,0
28,,0,3,0,1,1,0,1,0,0,0,0
29,,0,3,0,1,1,0,0,1,0,0,0
30,40.0,0,1,0,1,1,0,0,0,0,0,1
31,,0,1,1,2,3,0,0,0,1,0,0
32,,0,3,0,1,1,0,1,0,0,0,0
33,66.0,0,2,0,1,1,0,0,1,0,0,0
34,28.0,0,1,1,2,2,0,0,1,0,0,0
35,42.0,0,1,1,2,2,0,0,1,0,0,0
36,,0,3,0,1,1,0,0,1,0,0,0
37,21.0,0,3,0,1,1,0,0,1,0,0,0
38,18.0,0,3,2,3,2,0,1,0,0,0,0
39,14.0,0,3,1,2,2,0,1,0,0,0,0
40,40.0,0,3,1,2,1,0,0,0,1,0,0
41,27.0,0,2,1,2,2,0,0,0,1,0,0
42,,0,3,0,1,1,0,0,1,0,0,0
43,3.0,2,2,1,4,4,0,1,0,0,0,0
44,19.0,0,3,0,1,1,0,1,0,0,0,0
45,,0,3,0,1,1,0,0,1,0,0,0
46,,0,3,1,2,2,0,0,1,0,0,0
47,,0,3,0,1,1,0,1,0,0,0,0
48,,0,3,2,3,3,0,0,1,0,0,0
49,18.0,0,3,1,2,2,0,0,0,1,0,0
50,7.0,1,3,4,6,7,1,0,0,0,0,0
51,21.0,0,3,0,1,1,0,0,1,0,0,0
52,49.0,0,1,1,2,3,0,0,0,1,0,0
53,29.0,0,2,1,2,2,0,0,0,1,0,0
54,65.0,1,1,0,2,2,0,0,1,0,0,0
55,,0,1,0,1,1,0,0,1,0,0,0
56,21.0,0,2,0,1,1,0,1,0,0,0,0
57,28.5,0,3,0,1,1,0,0,1,0,0,0
58,5.0,2,2,1,4,4,0,1,0,0,0,0
59,11.0,2,3,5,8,8,1,0,0,0,0,0
60,22.0,0,3,0,1,1,0,0,1,0,0,0
61,38.0,0,1,0,1,2,0,1,0,0,0,0
62,45.0,0,1,1,2,2,0,0,1,0,0,0
63,4.0,2,3,3,6,6,1,0,0,0,0,0
64,,0,1,0,1,1,0,0,1,0,0,0
65,,1,3,1,3,3,1,0,0,0,0,0
66,29.0,0,2,0,1,1,0,0,0,1,0,0
67,19.0,0,3,0,1,1,0,0,1,0,0,0
68,17.0,2,3,4,7,1,0,1,0,0,0,0
69,26.0,0,3,2,3,1,0,0,1,0,0,0
70,32.0,0,2,0,1,1,0,0,1,0,0,0
71,16.0,2,3,5,8,8,0,1,0,0,0,0
72,21.0,0,2,0,1,7,0,0,1,0,0,0
73,26.0,0,3,1,2,2,0,0,1,0,0,0
74,32.0,0,3,0,1,8,0,0,1,0,0,0
75,25.0,0,3,0,1,1,0,0,1,0,0,0
76,,0,3,0,1,1,0,0,1,0,0,0
77,,0,3,0,1,1,0,0,1,0,0,0
78,0.83,2,2,0,3,3,1,0,0,0,0,0
79,30.0,0,3,0,1,2,0,1,0,0,0,0
80,22.0,0,3,0,1,1,0,0,1,0,0,0
81,29.0,0,3,0,1,1,0,0,1,0,0,0
82,,0,3,0,1,1,0,1,0,0,0,0
83,28.0,0,1,0,1,2,0,0,1,0,0,0
84,17.0,0,2,0,1,1,0,1,0,0,0,0
85,33.0,0,3,3,4,2,0,0,0,1,0,0
86,16.0,3,3,1,5,5,0,0,1,0,0,0
87,,0,3,0,1,1,0,0,1,0,0,0
88,23.0,2,1,3,6,6,0,1,0,0,0,0
89,24.0,0,3,0,1,1,0,0,1,0,0,0
90,29.0,0,3,0,1,1,0,0,1,0,0,0
91,20.0,0,3,0,1,1,0,0,1,0,0,0
92,46.0,0,1,1,2,2,0,0,1,0,0,0
93,26.0,2,3,1,4,4,0,0,1,0,0,0
94,59.0,0,3,0,1,1,0,0,1,0,0,0
95,,0,3,0,1,1,0,0,1,0,0,0
96,71.0,0,1,0,1,1,0,0,1,0,0,0
97,23.0,1,1,0,2,2,0,0,1,0,0,0
98,34.0,1,2,0,2,2,0,0,0,1,0,0
99,34.0,0,2,1,2,2,0,0,1,0,0,0
100,28.0,0,3,0,1,1,0,1,0,0,0,0
101,,0,3,0,1,1,0,0,1,0,0,0
102,21.0,1,1,0,2,2,0,0,1,0,0,0
103,33.0,0,3,0,1,1,0,0,1,0,0,0
104,37.0,0,3,2,3,1,0,0,1,0,0,0
105,28.0,0,3,0,1,1,0,0,1,0,0,0
106,21.0,0,3,0,1,1,0,1,0,0,0,0
107,,0,3,0,1,1,0,0,1,0,0,0
108,38.0,0,3,0,1,1,0,0,1,0,0,0
109,,0,3,1,2,3,0,1,0,0,0,0
110,47.0,0,1,0,1,2,0,0,1,0,0,0
111,14.5,0,3,1,2,2,0,1,0,0,0,0
112,22.0,0,3,0,1,1,0,0,1,0,0,0
113,20.0,0,3,1,2,1,0,1,0,0,0,0
114,17.0,0,3,0,1,2,0,1,0,0,0,0
115,21.0,0,3,0,1,1,0,0,1,0,0,0
116,70.5,0,3,0,1,1,0,0,1,0,0,0
117,29.0,0,2,1,2,2,0,0,1,0,0,0
118,24.0,1,1,0,2,3,0,0,1,0,0,0
119,2.0,2,3,4,7,7,0,1,0,0,0,0
120,21.0,0,2,2,3,7,0,0,1,0,0,0
121,,0,3,0,1,1,0,0,1,0,0,0
122,32.5,0,2,1,2,2,0,0,1,0,0,0
123,32.5,0,2,0,1,1,0,1,0,0,0,0
124,54.0,1,1,0,2,2,0,0,1,0,0,0
125,12.0,0,3,1,2,2,1,0,0,0,0,0
126,,0,3,0,1,1,0,0,1,0,0,0
127,24.0,0,3,0,1,1,0,0,1,0,0,0
128,,1,3,1,3,3,0,1,0,0,0,0
129,45.0,0,3,0,1,1,0,0,1,0,0,0
130,33.0,0,3,0,1,1,0,0,1,0,0,0
131,20.0,0,3,0,1,1,0,0,1,0,0,0
132,47.0,0,3,1,2,2,0,0,0,1,0,0
133,29.0,0,2,1,2,2,0,0,0,1,0,0
134,25.0,0,2,0,1,1,0,0,1,0,0,0
135,23.0,0,2,0,1,1,0,0,1,0,0,0
136,19.0,2,1,0,3,1,0,1,0,0,0,0
137,37.0,0,1,1,2,2,0,0,1,0,0,0
138,16.0,0,3,0,1,2,0,0,1,0,0,0
139,24.0,0,1,0,1,2,0,0,1,0,0,0
140,,2,3,0,3,3,0,0,0,1,0,0
141,22.0,0,3,0,1,1,0,1,0,0,0,0
142,24.0,0,3,1,2,2,0,0,0,1,0,0
143,19.0,0,3,0,1,1,0,0,1,0,0,0
144,18.0,0,2,0,1,1,0,0,1,0,0,0
145,19.0,1,2,1,3,4,0,0,1,0,0,0
146,27.0,0,3,0,1,1,0,0,1,0,0,0
147,9.0,2,3,2,5,5,0,1,0,0,0,0
148,36.5,2,2,0,3,3,0,0,1,0,0,0
149,42.0,0,2,0,1,1,0,0,0,0,1,0
150,51.0,0,2,0,1,1,0,0,0,0,1,0
151,22.0,0,1,1,2,2,0,0,0,1,0,0
152,55.5,0,3,0,1,1,0,0,1,0,0,0
153,40.5,2,3,0,3,3,0,0,1,0,0,0
154,,0,3,0,1,1,0,0,1,0,0,0
155,51.0,1,1,0,2,2,0,0,1,0,0,0
156,16.0,0,3,0,1,1,0,1,0,0,0,0
157,30.0,0,3,0,1,1,0,0,1,0,0,0
158,,0,3,0,1,1,0,0,1,0,0,0
159,,2,3,8,11,11,1,0,0,0,0,0
160,44.0,1,3,0,2,2,0,0,1,0,0,0
161,40.0,0,2,0,1,2,0,0,0,1,0,0
162,26.0,0,3,0,1,1,0,0,1,0,0,0
163,17.0,0,3,0,1,1,0,0,1,0,0,0
164,1.0,1,3,4,6,7,1,0,0,0,0,0
165,9.0,2,3,0,3,3,1,0,0,0,0,0
166,,1,1,0,2,2,0,0,0,1,0,0
167,45.0,4,3,1,6,6,0,0,0,1,0,0
168,,0,1,0,1,1,0,0,1,0,0,0
169,28.0,0,3,0,1,8,0,0,1,0,0,0
170,61.0,0,1,0,1,1,0,0,1,0,0,0
171,4.0,1,3,4,6,6,1,0,0,0,0,0
172,1.0,1,3,1,3,3,0,1,0,0,0,0
173,21.0,0,3,0,1,1,0,0,1,0,0,0
174,56.0,0,1,0,1,1,0,0,1,0,0,0
175,18.0,1,3,1,3,1,0,0,1,0,0,0
176,,1,3,3,5,5,1,0,0,0,0,0
177,50.0,0,1,0,1,1,0,1,0,0,0,0
178,30.0,0,2,0,1,1,0,0,1,0,0,0
179,36.0,0,3,0,1,4,0,0,1,0,0,0
180,,2,3,8,11,11,0,1,0,0,0,0
181,,0,2,0,1,1,0,0,1,0,0,0
182,9.0,2,3,4,7,7,1,0,0,0,0,0
183,1.0,1,2,2,4,4,1,0,0,0,0,0
184,4.0,2,3,0,3,3,0,1,0,0,0,0
185,,0,1,0,1,1,0,0,1,0,0,0
186,,0,3,1,2,2,0,0,0,1,0,0
187,45.0,0,1,0,1,1,0,0,1,0,0,0
188,40.0,1,3,1,3,2,0,0,1,0,0,0
189,36.0,0,3,0,1,1,0,0,1,0,0,0
190,32.0,0,2,0,1,1,0,0,0,1,0,0
191,19.0,0,2,0,1,1,0,0,1,0,0,0
192,19.0,0,3,1,2,1,0,1,0,0,0,0
193,3.0,1,2,1,3,3,1,0,0,0,0,0
194,44.0,0,1,0,1,1,0,0,0,1,0,0
195,58.0,0,1,0,1,3,0,1,0,0,0,0
196,,0,3,0,1,1,0,0,1,0,0,0
197,42.0,1,3,0,2,1,0,0,1,0,0,0
198,,0,3,0,1,1,0,1,0,0,0,0
199,24.0,0,2,0,1,1,0,1,0,0,0,0
200,28.0,0,3,0,1,1,0,0,1,0,0,0
201,,2,3,8,11,11,0,0,1,0,0,0
202,34.0,0,3,0,1,1,0,0,1,0,0,0
203,45.5,0,3,0,1,1,0,0,1,0,0,0
204,18.0,0,3,0,1,1,0,0,1,0,0,0
205,2.0,1,3,0,2,2,0,1,0,0,0,0
206,32.0,0,3,1,2,2,0,0,1,0,0,0
207,26.0,0,3,0,1,2,0,0,1,0,0,0
208,16.0,0,3,0,1,1,0,1,0,0,0,0
209,40.0,0,1,0,1,1,0,0,1,0,0,0
210,24.0,0,3,0,1,1,0,0,1,0,0,0
211,35.0,0,2,0,1,2,0,1,0,0,0,0
212,22.0,0,3,0,1,1,0,0,1,0,0,0
213,30.0,0,2,0,1,1,0,0,1,0,0,0
214,,0,3,1,2,1,0,0,1,0,0,0
215,31.0,0,1,1,2,3,0,1,0,0,0,0
216,27.0,0,3,0,1,1,0,1,0,0,0,0
217,42.0,0,2,1,2,2,0,0,1,0,0,0
218,32.0,0,1,0,1,2,0,1,0,0,0,0
219,30.0,0,2,0,1,1,0,0,1,0,0,0
220,16.0,0,3,0,1,1,0,0,1,0,0,0
221,27.0,0,2,0,1,1,0,0,1,0,0,0
222,51.0,0,3,0,1,1,0,0,1,0,0,0
223,,0,3,0,1,1,0,0,1,0,0,0
224,38.0,0,1,1,2,2,0,0,1,0,0,0
225,22.0,0,3,0,1,1,0,0,1,0,0,0
226,19.0,0,2,0,1,1,0,0,1,0,0,0
227,20.5,0,3,0,1,1,0,0,1,0,0,0
228,18.0,0,2,0,1,1,0,0,1,0,0,0
229,,1,3,3,5,5,0,1,0,0,0,0
230,35.0,0,1,1,2,2,0,0,0,1,0,0
231,29.0,0,3,0,1,1,0,0,1,0,0,0
232,59.0,0,2,0,1,1,0,0,1,0,0,0
233,5.0,2,3,4,7,7,0,1,0,0,0,0
234,24.0,0,2,0,1,1,0,0,1,0,0,0
235,,0,3,0,1,1,0,1,0,0,0,0
236,44.0,0,2,1,2,2,0,0,1,0,0,0
237,8.0,2,2,0,3,3,0,1,0,0,0,0
238,19.0,0,2,0,1,1,0,0,1,0,0,0
239,33.0,0,2,0,1,1,0,0,1,0,0,0
240,,0,3,1,2,2,0,1,0,0,0,0
241,,0,3,1,2,2,0,1,0,0,0,0
242,29.0,0,2,0,1,1,0,0,1,0,0,0
243,22.0,0,3,0,1,1,0,0,1,0,0,0
244,30.0,0,3,0,1,1,0,0,1,0,0,0
245,44.0,0,1,2,3,3,0,0,0,0,1,0
246,25.0,0,3,0,1,1,0,1,0,0,0,0
247,24.0,2,2,0,3,2,0,0,0,1,0,0
248,37.0,1,1,1,3,2,0,0,1,0,0,0
249,54.0,0,2,1,2,2,0,0,0,0,1,0
250,,0,3,0,1,1,0,0,1,0,0,0
251,29.0,1,3,1,3,2,0,0,0,1,0,0
252,62.0,0,1,0,1,1,0,0,1,0,0,0
253,30.0,0,3,1,2,2,0,0,1,0,0,0
254,41.0,2,3,0,3,3,0,0,0,1,0,0
255,29.0,2,3,0,3,3,0,0,0,1,0,0
256,,0,1,0,1,2,0,0,0,1,0,0
257,30.0,0,1,0,1,3,0,1,0,0,0,0
258,35.0,0,1,0,1,4,0,1,0,0,0,0
259,50.0,1,2,0,2,2,0,0,0,1,0,0
260,,0,3,0,1,1,0,0,1,0,0,0
261,3.0,2,3,4,7,7,1,0,0,0,0,0
262,52.0,1,1,1,3,3,0,0,1,0,0,0
263,40.0,0,1,0,1,1,0,0,1,0,0,0
264,,0,3,0,1,1,0,1,0,0,0,0
265,36.0,0,2,0,1,1,0,0,1,0,0,0
266,16.0,1,3,4,6,7,0,0,1,0,0,0
267,25.0,0,3,1,2,1,0,0,1,0,0,0
268,58.0,1,1,0,2,3,0,0,0,1,0,0
269,35.0,0,1,0,1,4,0,1,0,0,0,0
270,,0,1,0,1,2,0,0,1,0,0,0
271,25.0,0,3,0,1,4,0,0,1,0,0,0
272,41.0,1,2,0,2,2,0,0,0,1,0,0
273,37.0,1,1,0,2,1,0,0,1,0,0,0
274,,0,3,0,1,1,0,1,0,0,0,0
275,63.0,0,1,1,2,3,0,1,0,0,0,0
276,45.0,0,3,0,1,1,0,1,0,0,0,0
277,,0,2,0,1,3,0,0,1,0,0,0
278,7.0,1,3,4,6,6,1,0,0,0,0,0
279,35.0,1,3,1,3,3,0,0,0,1,0,0
280,65.0,0,3,0,1,1,0,0,1,0,0,0
281,28.0,0,3,0,1,1,0,0,1,0,0,0
282,16.0,0,3,0,1,1,0,0,1,0,0,0
283,19.0,0,3,0,1,1,0,0,1,0,0,0
284,,0,1,0,1,1,0,0,1,0,0,0
285,33.0,0,3,0,1,1,0,0,1,0,0,0
286,30.0,0,3,0,1,1,0,0,1,0,0,0
287,22.0,0,3,0,1,1,0,0,1,0,0,0
288,42.0,0,2,0,1,1,0,0,1,0,0,0
289,22.0,0,3,0,1,1,0,1,0,0,0,0
290,26.0,0,1,0,1,3,0,1,0,0,0,0
291,19.0,0,1,1,2,2,0,0,0,1,0,0
292,36.0,0,2,0,1,1,0,0,1,0,0,0
293,24.0,0,3,0,1,1,0,1,0,0,0,0
294,24.0,0,3,0,1,1,0,0,1,0,0,0
295,,0,1,0,1,1,0,0,1,0,0,0
296,23.5,0,3,0,1,1,0,0,1,0,0,0
297,2.0,2,1,1,4,6,0,1,0,0,0,0
298,,0,1,0,1,1,0,0,1,0,0,0
299,50.0,1,1,0,2,3,0,0,0,1,0,0
300,,0,3,0,1,1,0,1,0,0,0,0
301,,0,3,2,3,3,0,0,1,0,0,0
302,19.0,0,3,0,1,4,0,0,1,0,0,0
303,,0,2,0,1,1,0,1,0,0,0,0
304,,0,3,0,1,1,0,0,1,0,0,0
305,0.92,2,1,1,4,6,1,0,0,0,0,0
306,,0,1,0,1,4,0,1,0,0,0,0
307,17.0,0,1,1,2,3,0,0,0,1,0,0
308,30.0,0,2,1,2,2,0,0,1,0,0,0
309,30.0,0,1,0,1,2,0,1,0,0,0,0
310,24.0,0,1,0,1,3,0,1,0,0,0,0
311,18.0,2,1,2,5,7,0,1,0,0,0,0
312,26.0,1,2,1,3,2,0,0,0,1,0,0
313,28.0,0,3,0,1,1,0,0,1,0,0,0
314,43.0,1,2,1,3,3,0,0,1,0,0,0
315,26.0,0,3,0,1,1,0,1,0,0,0,0
316,24.0,0,2,1,2,2,0,0,0,1,0,0
317,54.0,0,2,0,1,1,0,0,0,0,1,0
318,31.0,2,1,0,3,4,0,1,0,0,0,0
319,40.0,1,1,1,3,5,0,0,0,1,0,0
320,22.0,0,3,0,1,1,0,0,1,0,0,0
321,27.0,0,3,0,1,1,0,0,1,0,0,0
322,30.0,0,2,0,1,1,0,1,0,0,0,0
323,22.0,1,2,1,3,3,0,0,0,1,0,0
324,,2,3,8,11,11,0,0,1,0,0,0
325,36.0,0,1,0,1,4,0,1,0,0,0,0
326,61.0,0,3,0,1,1,0,0,1,0,0,0
327,36.0,0,2,0,1,1,0,0,0,1,0,0
328,31.0,1,3,1,3,3,0,0,0,1,0,0
329,16.0,1,1,0,2,2,0,1,0,0,0,0
330,,0,3,2,3,3,0,1,0,0,0,0
331,45.5,0,1,0,1,1,0,0,1,0,0,0
332,38.0,1,1,0,2,3,0,0,1,0,0,0
333,16.0,0,3,2,3,2,0,0,1,0,0,0
334,,0,1,1,2,2,0,0,0,1,0,0
335,,0,3,0,1,1,0,0,1,0,0,0
336,29.0,0,1,1,2,2,0,0,1,0,0,0
337,41.0,0,1,0,1,5,0,1,0,0,0,0
338,45.0,0,3,0,1,1,0,0,1,0,0,0
339,45.0,0,1,0,1,1,0,0,1,0,0,0
340,2.0,1,2,1,3,3,1,0,0,0,0,0
341,24.0,2,1,3,6,6,0,1,0,0,0,0
342,28.0,0,2,0,1,1,0,0,1,0,0,0
343,25.0,0,2,0,1,1,0,0,1,0,0,0
344,36.0,0,2,0,1,1,0,0,1,0,0,0
345,24.0,0,2,0,1,1,0,1,0,0,0,0
346,40.0,0,2,0,1,1,0,1,0,0,0,0
347,,0,3,1,2,2,0,0,0,1,0,0
348,3.0,1,3,1,3,3,1,0,0,0,0,0
349,42.0,0,3,0,1,1,0,0,1,0,0,0
350,23.0,0,3,0,1,1,0,0,1,0,0,0
351,,0,1,0,1,1,0,0,1,0,0,0
352,15.0,1,3,1,3,1,0,0,1,0,0,0
353,25.0,0,3,1,2,2,0,0,1,0,0,0
354,,0,3,0,1,1,0,0,1,0,0,0
355,28.0,0,3,0,1,1,0,0,1,0,0,0
356,22.0,1,1,0,2,2,0,1,0,0,0,0
357,38.0,0,2,0,1,1,0,1,0,0,0,0
358,,0,3,0,1,1,0,1,0,0,0,0
359,,0,3,0,1,1,0,1,0,0,0,0
360,40.0,4,3,1,6,6,0,0,1,0,0,0
361,29.0,0,2,1,2,2,0,0,1,0,0,0
362,45.0,1,3,0,2,2,0,0,0,1,0,0
363,35.0,0,3,0,1,1,0,0,1,0,0,0
364,,0,3,1,2,2,0,0,1,0,0,0
365,30.0,0,3,0,1,1,0,0,1,0,0,0
366,60.0,0,1,1,2,2,0,0,0,1,0,0
367,,0,3,0,1,1,0,0,0,1,0,0
368,,0,3,0,1,1,0,1,0,0,0,0
369,24.0,0,1,0,1,2,0,0,0,1,0,0
370,25.0,0,1,1,2,2,0,0,1,0,0,0
371,18.0,0,3,1,2,1,0,0,1,0,0,0
372,19.0,0,3,0,1,1,0,0,1,0,0,0
373,22.0,0,1,0,1,4,0,0,1,0,0,0
374,3.0,1,3,3,5,5,0,1,0,0,0,0
375,,0,1,1,2,2,0,0,0,1,0,0
376,22.0,0,3,0,1,1,0,1,0,0,0,0
377,27.0,2,1,0,3,5,0,0,1,0,0,0
378,20.0,0,3,0,1,1,0,0,1,0,0,0
379,19.0,0,3,0,1,1,0,0,1,0,0,0
380,42.0,0,1,0,1,5,0,1,0,0,0,0
381,1.0,2,3,0,3,3,0,1,0,0,0,0
382,32.0,0,3,0,1,1,0,0,1,0,0,0
383,35.0,0,1,1,2,2,0,0,0,1,0,0
384,,0,3,0,1,1,0,0,1,0,0,0
385,18.0,0,2,0,1,7,0,0,1,0,0,0
386,1.0,2,3,5,8,8,1,0,0,0,0,0
387,36.0,0,2,0,1,1,0,1,0,0,0,0
388,,0,3,0,1,1,0,0,1,0,0,0
389,17.0,0,2,0,1,1,0,1,0,0,0,0
390,36.0,2,1,1,4,4,0,0,1,0,0,0
391,21.0,0,3,0,1,1,0,0,1,0,0,0
392,28.0,0,3,2,3,1,0,0,1,0,0,0
393,23.0,0,1,1,2,3,0,1,0,0,0,0
394,24.0,2,3,0,3,3,0,0,0,1,0,0
395,22.0,0,3,0,1,1,0,0,1,0,0,0
396,31.0,0,3,0,1,1,0,1,0,0,0,0
397,46.0,0,2,0,1,2,0,0,1,0,0,0
398,23.0,0,2,0,1,1,0,0,0,0,1,0
399,28.0,0,2,0,1,1,0,0,0,1,0,0
400,39.0,0,3,0,1,1,0,0,1,0,0,0
401,26.0,0,3,0,1,1,0,0,1,0,0,0
402,21.0,0,3,1,2,1,0,1,0,0,0,0
403,28.0,0,3,1,2,2,0,0,1,0,0,0
404,20.0,0,3,0,1,1,0,1,0,0,0,0
405,34.0,0,2,1,2,2,0,0,1,0,0,0
406,51.0,0,3,0,1,1,0,0,1,0,0,0
407,3.0,1,2,1,3,3,1,0,0,0,0,0
408,21.0,0,3,0,1,1,0,0,1,0,0,0
409,,1,3,3,5,5,0,1,0,0,0,0
410,,0,3,0,1,1,0,0,1,0,0,0
411,,0,3,0,1,1,0,0,1,0,0,0
412,33.0,0,1,1,2,3,0,1,0,0,0,0
413,,0,2,0,1,3,0,0,1,0,0,0
414,44.0,0,3,0,1,1,0,0,1,0,0,0
415,,0,3,0,1,1,0,0,0,1,0,0
416,34.0,1,2,1,3,3,0,0,0,1,0,0
417,18.0,2,2,0,3,1,0,1,0,0,0,0
418,30.0,0,2,0,1,1,0,0,1,0,0,0
419,10.0,2,3,0,3,3,0,1,0,0,0,0
420,,0,3,0,1,1,0,0,1,0,0,0
421,21.0,0,3,0,1,1,0,0,1,0,0,0
422,29.0,0,3,0,1,1,0,0,1,0,0,0
423,28.0,1,3,1,3,3,0,0,0,1,0,0
424,18.0,1,3,1,3,3,0,0,1,0,0,0
425,,0,3,0,1,1,0,0,1,0,0,0
426,28.0,0,2,1,2,2,0,0,0,1,0,0
427,19.0,0,2,0,1,2,0,1,0,0,0,0
428,,0,3,0,1,1,0,0,1,0,0,0
429,32.0,0,3,0,1,1,0,0,1,0,0,0
430,28.0,0,1,0,1,1,0,0,1,0,0,0
431,,0,3,1,2,2,0,0,0,1,0,0
432,42.0,0,2,1,2,2,0,0,0,1,0,0
433,17.0,0,3,0,1,1,0,0,1,0,0,0
434,50.0,0,1,1,2,2,0,0,1,0,0,0
435,14.0,2,1,1,4,4,0,1,0,0,0,0
436,21.0,2,3,2,5,5,0,1,0,0,0,0
437,24.0,3,2,2,6,3,0,0,0,1,0,0
438,64.0,4,1,1,6,6,0,0,1,0,0,0
